Handle,WPM,link
bilalino,68.86,https://data.typeracer.com/pit/profile?user=bilalino
livingrim,68.34,https://data.typeracer.com/pit/profile?user=livingrim
nurym99,68.21,https://data.typeracer.com/pit/profile?user=nurym99
galya_88,68.1,https://data.typeracer.com/pit/profile?user=galya_88
heyoung1999,67.9,https://data.typeracer.com/pit/profile?user=heyoung1999
kirina,67.69,https://data.typeracer.com/pit/profile?user=kirina
yernazarkuan,67.56,https://data.typeracer.com/pit/profile?user=yernazarkuan
rattlesnake_07,66.8,https://data.typeracer.com/pit/profile?user=rattlesnake_07
miras14,66.23,https://data.typeracer.com/pit/profile?user=miras14
nurasyldizimov,65.88,https://data.typeracer.com/pit/profile?user=nurasyldizimov
palish,65.4,https://data.typeracer.com/pit/profile?user=palish
take88,65.35,https://data.typeracer.com/pit/profile?user=take88
engineeer,65.11,https://data.typeracer.com/pit/profile?user=engineeer
ihkim,64.69,https://data.typeracer.com/pit/profile?user=ihkim
gansarxd,64.59,https://data.typeracer.com/pit/profile?user=gansarxd
bakytbek,64.51,https://data.typeracer.com/pit/profile?user=bakytbek
galactic,64.44,https://data.typeracer.com/pit/profile?user=galactic
dauksh,63.86,https://data.typeracer.com/pit/profile?user=dauksh
taukekhan,62.94,https://data.typeracer.com/pit/profile?user=taukekhan
saken2316,62.81,https://data.typeracer.com/pit/profile?user=saken2316
kalybai,62.49,https://data.typeracer.com/pit/profile?user=kalybai
orka,62.47,https://data.typeracer.com/pit/profile?user=orka
ulday,62.07,https://data.typeracer.com/pit/profile?user=ulday
pinkfcpp,62.03,https://data.typeracer.com/pit/profile?user=pinkfcpp
nocs782,61.95,https://data.typeracer.com/pit/profile?user=nocs782
darling002,61.63,https://data.typeracer.com/pit/profile?user=darling002
issakhoj,61.5,https://data.typeracer.com/pit/profile?user=issakhoj
affino,59.73,https://data.typeracer.com/pit/profile?user=affino
ketchbar,59.64,https://data.typeracer.com/pit/profile?user=ketchbar
irtenda,59.12,https://data.typeracer.com/pit/profile?user=irtenda
amans,57.98,https://data.typeracer.com/pit/profile?user=amans
man_style,57.78,https://data.typeracer.com/pit/profile?user=man_style
kairat100,57.64,https://data.typeracer.com/pit/profile?user=kairat100
aldiy4r,57.16,https://data.typeracer.com/pit/profile?user=aldiy4r
vdios,55.26,https://data.typeracer.com/pit/profile?user=vdios
naizagai,53.36,https://data.typeracer.com/pit/profile?user=naizagai
maimashev_dake,50.76,https://data.typeracer.com/pit/profile?user=maimashev_dake
pos3id1,50.52,https://data.typeracer.com/pit/profile?user=pos3id1
hikaruk,50.51,https://data.typeracer.com/pit/profile?user=hikaruk
neugis,49.33,https://data.typeracer.com/pit/profile?user=neugis
ye1nur,48.62,https://data.typeracer.com/pit/profile?user=ye1nur
edok_mal4,48.3,https://data.typeracer.com/pit/profile?user=edok_mal4
assem22,46.32,https://data.typeracer.com/pit/profile?user=assem22
kuanyshby,44.5,https://data.typeracer.com/pit/profile?user=kuanyshby
